Product_Id,Product_Weight,Product_Sugar_Content,Product_Allocated_Area,Product_Type,Product_MRP,Store_Id,Store_Establishment_Year,Store_Size,Store_Location_City_Type,Store_Type,Product_Store_Sales_Total,Date
NC7411,9,No Sugar,0.03,Health and Hygiene,31,OUT002,1998,Small,Tier 3,Food Mart,253.53,03/02/2020 6:23:52
FD5378,7.64,Low Sugar,0.019,Meat,41.84,OUT002,1998,Small,Tier 3,Food Mart,166.92,03/02/2020 6:23:52
FD735,6.95,Low Sugar,0.079,Canned,50.13,OUT002,1998,Small,Tier 3,Food Mart,180.86,03/02/2020 6:23:52
FD4245,7.02,Regular,0.029,Baking Goods,50.42,OUT002,1998,Small,Tier 3,Food Mart,203.55,03/02/2020 6:23:52
FD6089,9.69,Regular,0.027,Snack Foods,51.9,OUT002,1998,Small,Tier 3,Food Mart,836.23,03/02/2020 6:23:52
FD7127,7.06,Low Sugar,0.167,Meat,52.62,OUT002,1998,Small,Tier 3,Food Mart,258.72,03/02/2020 6:23:52
FD3923,10.51,Low Sugar,0.062,Dairy,53.83,OUT002,1998,Small,Tier 3,Food Mart,1062.04,03/02/2020 6:23:52
FD3055,9.01,Regular,0.099,Fruits and Vegetables,53.86,OUT002,1998,Small,Tier 3,Food Mart,723.24,03/02/2020 6:23:52
DR1957,10.23,Low Sugar,0.129,Soft Drinks,54.23,OUT002,1998,Small,Tier 3,Food Mart,1005.98,03/02/2020 6:23:52
FD2783,9.41,Regular,0.021,Seafood,54.64,OUT002,1998,Small,Tier 3,Food Mart,829.1,03/02/2020 6:23:52
FD3204,7.35,Regular,0.013,Fruits and Vegetables,54.69,OUT002,1998,Small,Tier 3,Food Mart,366.37,03/02/2020 6:23:52
NC8741,10.44,No Sugar,0.1,Household,56.01,OUT002,1998,Small,Tier 3,Food Mart,1091.66,03/02/2020 6:23:52
FD1541,11.52,Regular,0.042,Snack Foods,56.33,OUT002,1998,Small,Tier 3,Food Mart,1340.97,03/02/2020 6:23:52
FD7124,7.12,Regular,0.009,Dairy,57.41,OUT002,1998,Small,Tier 3,Food Mart,368.72,03/02/2020 6:23:52
NC730,6.96,No Sugar,0.153,Others,300,OUT002,1998,Small,Tier 3,Food Mart,369.31,03/02/2020 6:23:52
FD5401,10.98,Regular,0.045,Baking Goods,59.3,OUT002,1998,Small,Tier 3,Food Mart,1280.99,03/02/2020 6:23:52
NC4151,10.15,No Sugar,0.014,Household,59.96,OUT002,1998,Small,Tier 3,Food Mart,1105.17,03/02/2020 6:23:52
FD4085,10.15,Low Sugar,0.032,Baking Goods,60.22,OUT002,,Small,Tier 3,Food Mart,1110.95,03/02/2020 6:23:52
