Household_ID,Location,Annual_Income_Lakhs,Annual_Expenditure_Lakhs
2129,Rural,14.06,5.12
1287,Urban,30.9,19.12
3313,Rural,4.9,5.3
1056,Urban,19.28,17.67
4974,Rural,5.87,4.58
3724,Urban,16.04,11.68
1347,Urban,12.48,12.26
4033,Urban,15.28,12.37
204,Rural,26.25,10.87
472,Rural,13.7,6.52
2539,Rural,16.54,13.01
1450,,21.1,11.39
4648,Urban,20.45,16.61
3860,Rural,23.28,13.63
4221,Urban,6.88,10.02
1841,Urban,32.36,21.79
3504,Urban,34.14,22.32
4211,Urban,32.18,24.29
499,Rural,21.65,13.68
1251,Rural,18.38,12.01
951,Rural,8.54,9.51
3637,Rural,28.81,19.02
1584,Urban,6.69,8.56
4495,Rural,24.06,12.14
1242,Rural,6.94,4.62
253,Rural,25.61,13.3
4737,Urban,25.28,21.24
2615,Urban,11.6,11.29
506,Urban,9.63,5.05
519,Rural,7.53,4.17
2330,Urban,21.78,15.43
3945,Urban,13.41,12.19
3285,Urban,22.22,16.4
2030,Rural,8.72,6.96
2969,Rural,17.03,8.59
4865,Urban,25.48,19.66
3342,Urban,21.19,18.99
2524,Urban,26.59,19.93
626,Urban,30.16,19.98
533,Rural,25.44,12.95
2694,Urban,22.38,19.1
891,Rural,26.28,10.41
3691,Rural,17.27,11.26
4604,Urban,5.36,5.26
510,Rural,18.38,10.61
3887,Rural,26.47,13.42
1966,Urban,7.92,8.69
4839,,26.62,24.52
2929,Rural,27.95,14.37
444,Urban,33.55,21.47
272,Rural,8.0,8.03
3867,Urban,16.96,13.8
2266,Rural,6.46,5.73
2913,Rural,20.66,11.63
3694,Urban,4.37,9.22
4384,Urban,15.65,14.93
1364,Rural,18.56,9.25
932,Rural,14.26,7.42
2740,Urban,,7.81
822,Urban,17.82,15.08
1207,Rural,12.02,9.03
300,Urban,4.84,7.06
3011,Urban,30.02,21.86
1406,Urban,31.55,24.8
1616,Rural,26.58,12.1
4338,Rural,34.26,17.1
762,Urban,33.02,21.01
1624,Rural,20.77,16.23
976,Urban,33.52,23.45
3171,Rural,29.3,14.75
4732,Urban,27.19,20.11
1396,Rural,12.61,5.82
989,Urban,24.64,18.65
1091,Rural,16.99,13.2
279,Rural,33.14,19.58
4619,Urban,26.39,21.61
143,Urban,22.03,14.34
3783,Urban,13.57,16.05
2857,Urban,16.73,13.75
3308,Urban,14.47,11.5
1984,Urban,29.88,22.83
2112,Urban,32.47,25.18
3719,Urban,31.38,23.27
3535,Urban,20.78,13.11
696,Rural,13.59,7.9
857,Urban,8.46,8.08
2431,Rural,12.87,6.39
2407,Urban,24.76,18.88
493,Urban,21.62,20.12
1109,Rural,10.08,7.15
2012,Urban,28.98,23.33
1777,Rural,26.84,12.87
4069,Rural,4.95,4.74
375,Urban,19.01,13.16
1425,Rural,17.52,7.37
3587,Urban,31.08,17.88
4531,Urban,6.43,10.55
810,Urban,16.9,12.39
1007,Rural,20.07,13.0
3566,Rural,20.8,11.62
665,Urban,23.17,13.19
1888,Urban,15.1,16.42
199,Rural,16.0,10.37
3042,Rural,12.32,5.56
4307,Urban,11.82,12.76
4508,Urban,22.88,16.06
1786,Rural,31.12,19.04
3647,Urban,17.64,15.03
4,Urban,14.54,10.38
613,Rural,29.46,16.71
3980,Urban,14.32,11.34
405,Urban,14.79,14.54
2497,Urban,,6.81
2617,Urban,13.94,10.11
581,Urban,,6.5
167,Urban,10.48,12.62
3337,Rural,33.17,15.46
4687,Urban,12.85,14.55
4962,Urban,21.69,16.01
1749,Rural,34.78,19.52
2464,Urban,15.42,10.77
4608,Urban,19.3,14.69
4999,Rural,16.32,7.16
4105,Urban,8.2,8.95
1414,Urban,16.28,13.59
1302,Rural,17.72,9.41
50,Urban,20.1,16.08
4220,Urban,7.95,7.13
2198,Rural,27.75,15.99
1989,Urban,8.88,9.84
2884,Urban,31.52,24.53
551,Urban,12.06,7.73
162,Rural,5.25,4.43
3000,Rural,7.24,4.37
2019,Urban,15.05,12.66
4183,Rural,7.53,3.65
3091,Urban,30.74,22.25
2633,Urban,14.09,11.59
2331,Urban,10.67,12.31
3426,Rural,13.59,10.12
4954,Rural,11.79,6.47
3886,Rural,25.38,14.65
4478,Urban,31.29,19.12
236,Rural,4.23,3.37
437,Urban,10.54,8.38
3250,Rural,28.73,17.69
1452,Rural,34.9,19.91
3277,Rural,19.8,11.92
4224,Rural,12.26,7.02
407,Urban,33.97,21.53
2063,Rural,24.99,15.37
3561,Urban,9.29,10.75
1954,Rural,4.22,2.33
1918,Urban,32.24,23.35
2011,Urban,11.76,11.5
2776,Urban,4.8,5.86
2248,Rural,30.75,16.57
1998,Urban,32.26,22.81
2650,Urban,22.35,18.83
1566,Urban,15.04,10.53
1039,Urban,,9.71
4734,Rural,28.27,13.7
752,Rural,28.76,17.0
2237,Rural,23.01,10.62
36,Rural,15.77,11.09
4267,Rural,13.19,6.71
3695,Urban,20.09,16.08
3577,Urban,25.01,21.35
2941,Urban,15.27,10.6
767,Rural,11.84,5.45
3049,Urban,30.98,21.07
4376,Urban,11.65,13.04
2641,Urban,17.95,11.98
1881,Rural,27.78,14.48
4511,Urban,20.88,19.71
2832,Rural,16.82,10.58
1037,Urban,26.12,17.7
2864,Urban,23.45,21.27
4983,Rural,13.67,6.28
2514,Urban,7.5,7.44
867,Urban,26.7,22.05
2448,Urban,11.94,13.96
268,Rural,18.55,12.22
4093,Urban,19.12,14.66
658,Urban,30.62,26.67
2682,Rural,20.43,17.32
220,Rural,5.81,4.43
3033,Rural,11.61,4.98
1323,Rural,20.92,13.84
1615,Urban,7.16,8.71
2899,Urban,11.99,11.28
2731,Rural,20.35,14.11
3688,Urban,6.7,6.13
3718,Urban,25.44,21.07
4701,Urban,28.2,23.43
4389,Urban,18.33,14.33
3281,Urban,14.4,5.89
2187,Rural,22.37,10.75
1705,Urban,18.24,16.66
4374,Urban,31.08,20.27
2352,Rural,5.31,6.14
2574,Urban,27.14,18.38
2972,Urban,23.75,18.81
1530,Urban,30.09,26.11
4355,Urban,6.43,4.49
4457,Rural,15.79,8.4
1336,Rural,27.09,12.42
1353,Urban,5.16,6.23
1567,,25.61,17.17
3012,Urban,,15.42
1071,Urban,33.43,23.27
4857,Urban,6.43,8.7
3256,Urban,30.66,24.62
4129,Urban,26.0,16.8
1443,Rural,26.41,17.5
944,Rural,31.26,16.56
1253,Urban,14.46,14.67
3125,Rural,12.78,8.14
4377,,25.55,18.9
2555,Urban,23.55,16.15
4658,Urban,10.06,10.02
3546,Urban,19.92,17.14
4113,Urban,20.74,15.15
2882,Rural,18.17,7.32
831,Urban,34.88,24.03
2115,Rural,20.03,13.16
1229,Rural,28.2,16.74
2592,Rural,30.04,16.69
1459,Urban,5.27,6.37
632,Rural,22.06,9.64
3990,Rural,22.22,11.18
1793,Urban,16.35,18.87
2741,Urban,22.72,18.18
954,Rural,23.11,9.05
2842,Rural,17.62,10.6
993,Urban,18.25,13.08
2556,Rural,17.94,9.49
1375,Urban,10.49,8.99
697,Urban,17.89,13.86
4987,Rural,14.07,9.27
1233,Urban,21.18,17.19
1108,Rural,6.54,6.73
1053,Rural,20.61,9.93
4474,Urban,10.42,8.34
3515,Rural,13.9,8.52
2153,Rural,33.83,17.07
3419,Urban,27.58,20.41
4159,Rural,24.44,13.7
1489,Urban,17.16,16.35
4212,Urban,33.2,25.45
3336,Rural,18.34,11.03
2124,Urban,31.26,22.89
3775,Rural,33.38,14.07
4499,Urban,33.64,21.53
4592,Urban,,9.02
3169,Rural,17.52,13.21
2403,Urban,21.74,20.82
2471,Urban,29.36,20.06
2863,Rural,4.29,3.0
1979,Rural,27.91,13.24
2288,Urban,12.79,9.51
2758,Rural,31.33,15.39
3699,Rural,18.61,9.62
274,Rural,28.18,14.02
3186,Urban,8.63,9.11
1462,Rural,25.27,16.96
2440,Urban,7.95,6.52
3584,Rural,10.87,5.97
2877,Urban,24.27,15.42
351,Urban,26.73,19.22
3234,Urban,22.3,19.71
2105,Rural,12.11,9.95
3612,Urban,32.24,23.53
3484,Rural,32.9,15.11
1790,Urban,21.07,17.23
3421,Rural,21.73,13.12
3991,Urban,11.82,10.37
3074,Urban,25.26,20.14
4559,Rural,25.61,10.72
4703,Rural,26.18,13.86
4555,Urban,24.0,17.55
2200,Urban,33.37,22.85
2698,Urban,25.38,20.99
119,Rural,27.49,19.49
4286,Urban,26.7,23.87
1134,Urban,6.4,5.48
588,Urban,18.54,13.15
2831,Urban,10.21,6.99
2367,Urban,19.29,14.72
156,Urban,,12.93
127,Rural,20.94,9.69
3764,Urban,31.86,21.86
1986,,13.4,9.85
1781,Urban,15.01,12.21
3083,Urban,10.63,9.56
3412,Urban,34.4,22.49
3041,Urban,34.37,22.39
3868,Rural,21.53,10.19
2577,Rural,22.0,10.51
4097,Urban,12.96,11.63
4335,Urban,15.98,13.28
1356,Rural,34.02,17.56
1380,Urban,31.58,22.34
4251,Urban,5.31,2.77
3143,Urban,23.99,17.94
4888,Rural,28.92,11.89
4199,Urban,25.03,20.44
4042,Urban,13.81,13.86
1981,Urban,10.02,10.1
323,Rural,16.55,10.87
1869,Urban,21.92,18.56
751,Urban,11.55,8.75
4972,Rural,34.26,18.86
2980,Rural,25.98,12.72
572,Rural,6.02,7.59
2349,Urban,25.91,21.14
4369,Urban,28.53,19.35
2037,Urban,12.21,11.95
3605,Urban,18.0,18.52
1422,Urban,18.42,14.24
2357,Rural,34.53,20.14
2310,Urban,4.97,5.6
3181,Urban,4.21,8.3
