Batch_ID,Avg_Pour_Temp,Cooling_Rate_Zone3,Gas_Pretreatment_Level,Alloy_Composition,Mould_Sand_Humidity,Casting_Thickness,Defect_Type
CAST_B0001,730.01,1.05,4.0,Al-Zn10,3.26,13.8,No Defect
,729.69,1.03,3.0,Al-Cu4,3.87,15.4,No Defect
CAST_B0003,730.16,0.99,5.0,Al-Si7Mg,2.99,31.9,No Defect
CAST_B0004,731.61,1.05,3.0,Al-Si7Mg,4.16,,No Defect
CAST_B0005,742.08,1.28,1.0,Al-Cu4,4.16,27.0,Shrinkage Porosity
CAST_B0006,729.68,1.06,3.0,Al-Cu4,3.67,20.3,No Defect
CAST_B0007,731.72,1.02,3.0,Al-Si7Mg,3.03,22.1,No Defect
CAST_B0008,728.66,1.02,3.0,Al-Si7Mg,3.48,,No Defect
CAST_B0009,,0.96,4.0,Al-Cu4,4.06,16.3,No Defect
CAST_B0010,,0.91,3.0,Al-Cu4,3.36,18.3,No Defect
CAST_B0011,740.09,1.39,2.0,Al-Zn10,3.36,25.9,Shrinkage Porosity
CAST_B0012,729.45,1.04,5.0,Al-Zn10,3.3,20.7,No Defect
CAST_B0013,729.34,1.04,5.0,Al-Si7Mg,2.87,15.5,No Defect
CAST_B0014,729.7,1.01,4.0,Al-Cu4,3.92,17.1,No Defect
CAST_B0015,742.2,2.08,2.0,Al-Zn10,3.92,25.3,Shrinkage Porosity
CAST_B0016,729.14,1.01,5.0,Al-Cu4,3.79,21.8,No Defect
,728.74,0.98,1.0,Al-Zn10,9.81,15.3,Gas Porosity
,750.01,1.65,5.0,Al-Zn10,3.64,19.0,Hot Tear
CAST_B0019,740.39,1.57,1.0,Al-Cu4,3.64,29.1,Shrinkage Porosity
CAST_B0020,730.12,1.07,5.0,Al-Cu4,2.66,16.5,No Defect
CAST_B0021,729.54,1.0,5.0,Al-Zn10,2.55,23.6,No Defect
CAST_B0022,730.77,1.0,,Al-Zn10,4.51,20.6,No Defect
CAST_B0023,738.87,2.89,4.0,Al-Zn10,3.11,18.6,Hot Tear
CAST_B0024,,1.02,3.0,Al-Cu4,3.13,27.2,No Defect
CAST_B0025,730.76,0.93,4.0,Al-Cu4,3.31,13.9,No Defect
CAST_B0026,730.39,1.06,3.0,Al-Si7Mg,3.14,29.3,No Defect
CAST_B0027,728.33,0.98,,Al-Si7Mg,3.49,20.5,No Defect
CAST_B0028,730.29,1.03,4.0,Al-Cu4,4.04,22.5,No Defect
CAST_B0029,720.78,0.79,2.0,Al-Zn10,6.47,22.4,Gas Porosity
,730.5,1.0,4.0,Al-Zn10,3.18,23.8,No Defect
CAST_B0031,729.36,0.96,4.0,Al-Zn10,4.26,19.1,No Defect
CAST_B0032,731.18,0.93,5.0,Al-Cu4,3.01,30.5,No Defect
CAST_B0033,731.6,1.0,5.0,Al-Si7Mg,3.39,18.8,No Defect
CAST_B0034,730.06,0.97,4.0,Al-Zn10,2.42,24.4,No Defect
CAST_B0035,729.54,0.99,5.0,Al-Si7Mg,2.36,14.5,No Defect
CAST_B0036,730.21,1.06,4.0,Al-Si7Mg,3.11,26.5,No Defect
CAST_B0037,739.56,1.99,3.0,Al-Si7Mg,3.11,24.8,Shrinkage Porosity
CAST_B0038,728.32,0.99,4.0,Al-Si7Mg,3.29,23.0,No Defect
CAST_B0039,744.12,1.74,2.0,Al-Si7Mg,3.29,31.1,Shrinkage Porosity
CAST_B0040,729.84,0.96,4.0,Al-Cu4,3.08,,No Defect
CAST_B0041,745.27,1.92,3.0,Al-Cu4,3.08,28.9,Shrinkage Porosity
CAST_B0042,740.98,1.53,1.0,Al-Si7Mg,3.08,22.0,Shrinkage Porosity
CAST_B0043,748.66,2.28,2.0,Al-Cu4,4.62,16.6,Hot Tear
CAST_B0044,742.27,,4.0,Al-Zn10,4.62,,Shrinkage Porosity
CAST_B0045,,0.97,5.0,Al-Cu4,2.78,16.6,No Defect
CAST_B0046,729.42,0.99,3.0,Al-Cu4,3.4,4.9,No Defect
CAST_B0047,,0.94,3.0,Al-Cu4,2.38,33.5,No Defect
CAST_B0048,729.24,1.01,5.0,Al-Si7Mg,3.14,31.3,No Defect
CAST_B0049,729.83,1.01,5.0,Al-Cu4,3.83,19.1,No Defect
CAST_B0050,728.86,0.99,3.0,Al-Cu4,3.61,22.9,No Defect
CAST_B0051,730.14,0.99,3.0,Al-Zn10,4.25,21.2,No Defect
CAST_B0052,,1.01,3.0,Al-Si7Mg,3.2,21.7,No Defect
CAST_B0053,731.64,1.0,4.0,Al-Cu4,3.28,11.1,No Defect
CAST_B0054,730.68,0.97,5.0,Al-Si7Mg,3.17,22.9,No Defect
CAST_B0055,730.57,0.81,3.0,Al-Si7Mg,3.0,20.5,No Defect
CAST_B0056,728.94,0.75,1.0,Al-Cu4,5.24,17.0,Gas Porosity
,732.17,1.05,3.0,Al-Cu4,3.6,17.1,No Defect
CAST_B0058,729.4,1.0,3.0,Al-Zn10,3.2,19.1,No Defect
CAST_B0059,734.62,2.43,1.0,Al-Zn10,4.96,15.6,Hot Tear
CAST_B0060,730.87,1.03,4.0,Al-Zn10,3.67,,No Defect
,732.33,0.97,3.0,Al-Cu4,4.06,17.5,No Defect
CAST_B0062,731.16,1.02,5.0,Al-Cu4,3.84,19.9,No Defect
CAST_B0063,729.41,0.93,3.0,Al-Zn10,2.81,17.6,No Defect
CAST_B0064,729.76,1.0,5.0,Al-Si7Mg,3.14,21.2,No Defect
,742.83,1.16,1.0,Al-Zn10,3.14,21.1,Shrinkage Porosity
CAST_B0066,,1.03,5.0,Al-Si7Mg,3.0,28.5,No Defect
CAST_B0067,,1.02,3.0,Al-Si7Mg,3.89,14.4,No Defect
CAST_B0068,730.77,1.04,3.0,Al-Zn10,3.53,,No Defect
CAST_B0069,729.26,1.06,5.0,Al-Zn10,2.76,18.3,No Defect
CAST_B0070,730.09,0.96,3.0,Al-Zn10,3.7,11.6,No Defect
CAST_B0071,728.12,0.79,1.0,Al-Cu4,5.42,27.2,Gas Porosity
CAST_B0072,745.02,1.55,5.0,Al-Zn10,5.42,23.4,Shrinkage Porosity
CAST_B0073,730.85,1.04,4.0,Al-Cu4,3.64,21.5,No Defect
CAST_B0074,730.13,0.99,3.0,Al-Si7Mg,3.2,23.4,No Defect
CAST_B0075,730.56,0.93,5.0,Al-Zn10,4.31,20.8,No Defect
CAST_B0076,722.97,1.15,1.0,Al-Zn10,7.41,,Gas Porosity
CAST_B0077,729.54,1.03,5.0,Al-Zn10,4.37,15.2,No Defect
CAST_B0078,731.14,1.02,3.0,Al-Zn10,3.52,,No Defect
CAST_B0079,729.49,1.03,3.0,Al-Zn10,3.16,19.5,No Defect
CAST_B0080,730.16,0.91,5.0,Al-Zn10,3.02,30.1,No Defect
CAST_B0081,729.23,1.01,,Al-Si7Mg,3.29,,No Defect
CAST_B0082,729.64,1.03,3.0,Al-Zn10,3.2,20.6,No Defect
CAST_B0083,729.35,1.08,5.0,Al-Zn10,2.66,16.1,No Defect
CAST_B0084,729.79,0.93,3.0,Al-Si7Mg,3.7,28.7,No Defect
CAST_B0085,,1.82,5.0,Al-Zn10,3.7,28.0,Shrinkage Porosity
,,1.1,2.0,Al-Cu4,4.26,17.1,Gas Porosity
CAST_B0087,730.7,0.96,3.0,Al-Cu4,3.21,22.1,No Defect
CAST_B0088,729.8,0.94,3.0,Al-Si7Mg,2.94,19.8,No Defect
CAST_B0089,734.51,0.89,2.0,Al-Si7Mg,5.27,27.8,Gas Porosity
CAST_B0090,728.35,1.01,5.0,Al-Zn10,3.22,7.9,No Defect
CAST_B0091,729.52,1.06,3.0,Al-Zn10,2.9,15.6,No Defect
CAST_B0092,,0.91,3.0,Al-Cu4,3.08,21.8,No Defect
CAST_B0093,730.13,1.08,3.0,Al-Si7Mg,3.27,21.3,No Defect
