Branch_ID,Bank_Type,Priority_Sector,Lending_Rate_Pct,Regional_GDP_Growth,LTV_Ratio,Gross_NPA_Pct
13735,Private,Non-PSL,8.73,1.86,76.2,16.59
13903,Public,Non-PSL,13.41,5.81,70.93,14.84
10598,Public,Non-PSL,8.21,4.83,70.48,11.63
12808,Public,Non-PSL,8.13,6.55,56.18,11.15
10414,Private,PSL,11.01,-1.48,54.43,16.28
11311,Private,Non-PSL,7.56,1.62,45.41,11.19
12969,Public,Non-PSL,13.63,2.2,71.22,17.13
14275,Public,PSL,11.21,5.19,49.65,12.58
12923,Public,Non-PSL,12.72,-0.22,61.32,14.5
14877,Foreign,PSL,11.21,-1.42,41.13,13.05
11514,Public,Non-PSL,7.13,5.99,59.08,11.47
13979,Private,PSL,7.35,4.44,40.46,9.94
12653,Private,Non-PSL,9.59,-1.27,54.25,13.48
10569,Public,PSL,13.33,6.36,86.43,16.98
13918,Private,Non-PSL,9.42,6.29,76.82,13.57
14623,Public,PSL,8.03,1.9,58.47,15.48
14744,Private,Non-PSL,13.96,4.84,61.37,14.63
13522,,PSL,,2.24,52.17,16.15
13152,Public,Non-PSL,8.74,6.24,42.26,11.05
11785,Private,Non-PSL,11.62,5.29,73.33,12.27
11724,Private,Non-PSL,7.71,2.28,68.61,12.0
13280,Private,Non-PSL,12.54,-1.74,82.7,20.09
12814,Public,PSL,8.14,2.32,42.77,14.94
12076,Public,PSL,13.09,-0.17,83.77,19.76
12344,Private,PSL,9.48,2.89,73.1,15.26
12305,Public,Non-PSL,13.52,-1.59,85.52,18.19
12499,,Non-PSL,,0.13,78.27,15.9
13795,Public,PSL,7.23,2.37,83.82,18.32
10435,Private,Non-PSL,7.59,3.96,85.39,17.69
10640,,Non-PSL,,-1.51,53.28,14.44
14993,Foreign,PSL,9.39,2.71,51.87,14.06
10843,,PSL,,-1.06,83.43,17.74
14525,Foreign,Non-PSL,12.67,-1.25,64.8,17.16
11515,Private,Non-PSL,8.37,3.08,77.0,13.07
13080,Private,Non-PSL,13.61,2.86,87.22,17.2
12880,Foreign,Non-PSL,8.3,-1.55,50.26,14.62
11565,Public,Non-PSL,12.76,-0.45,80.42,19.02
14763,Public,Non-PSL,12.28,7.71,40.87,10.34
14501,Public,PSL,11.2,3.17,77.43,15.6
14610,Foreign,Non-PSL,9.64,5.37,75.44,11.95
10432,Public,Non-PSL,12.33,-1.11,44.15,17.19
12812,Public,PSL,11.48,-1.43,69.62,19.99
14466,Private,PSL,9.77,7.55,57.02,11.09
13893,Private,Non-PSL,11.74,7.8,54.61,11.27
13673,Private,Non-PSL,12.07,2.98,44.5,14.09
10311,Public,Non-PSL,10.07,1.36,88.82,16.2
10055,Private,Non-PSL,11.19,2.36,66.25,13.36
12711,Public,PSL,12.41,-1.67,47.91,19.16
12425,Public,PSL,9.02,2.69,73.95,14.25
12686,Foreign,Non-PSL,7.14,5.68,86.07,10.66
10688,Public,PSL,8.96,7.12,43.56,11.24
11604,Public,Non-PSL,9.48,6.07,80.28,14.17
10375,Public,PSL,7.5,2.84,89.88,17.32
11808,Public,Non-PSL,8.3,2.26,42.59,11.0
11752,Private,Non-PSL,8.51,3.58,82.9,16.08
11888,Private,Non-PSL,8.73,1.58,54.89,12.68
12626,Private,Non-PSL,13.75,4.51,52.02,13.97
14956,Public,Non-PSL,12.24,1.49,75.78,15.7
13653,Public,Non-PSL,12.79,0.28,40.07,14.6
13507,Foreign,Non-PSL,13.81,-2.0,67.59,17.5
12311,Public,Non-PSL,10.55,7.67,70.72,13.69
14844,Private,Non-PSL,7.3,5.1,68.97,10.45
14189,Private,PSL,11.85,7.54,54.81,10.91
10498,Public,PSL,7.54,6.89,69.51,11.2
14226,Public,PSL,12.11,7.27,66.97,15.64
14045,Public,Non-PSL,9.88,2.56,49.48,10.99
13802,Public,Non-PSL,13.57,0.58,40.58,15.64
13932,Public,Non-PSL,8.27,0.27,84.71,17.46
13259,Public,Non-PSL,9.74,4.14,41.83,11.57
10622,Private,Non-PSL,8.47,7.11,54.54,9.27
10547,Private,Non-PSL,7.79,-0.88,87.65,17.24
12115,Foreign,Non-PSL,11.58,3.17,89.78,16.27
13726,Private,PSL,13.5,5.24,87.71,18.11
11220,,Non-PSL,,-0.49,62.06,14.61
14845,Public,Non-PSL,8.25,-0.85,79.91,17.01
14559,Private,Non-PSL,13.52,4.97,72.97,13.77
11023,Private,PSL,13.47,6.56,85.34,15.46
13358,Public,Non-PSL,9.68,3.31,89.87,14.79
12595,Private,Non-PSL,8.0,-0.82,43.77,12.21
