Timestamp,Energy_MWh,Ambient_Temperature_C
2024-01-01 00:00:00,18.22,11.3
2024-01-01 01:00:00,19.07,7.2
2024-01-01 02:00:00,18.12,9.4
2024-01-01 03:00:00,17.49,9.9
2024-01-01 04:00:00,18.16,12.1
2024-01-01 05:00:00,16.9,7.9
2024-01-01 06:00:00,18.09,11.3
2024-01-01 07:00:00,17.58,10.0
2024-01-01 08:00:00,21.52,10.6
2024-01-01 09:00:00,20.92,11.9
2024-01-01 10:00:00,20.68,7.4
2024-01-01 11:00:00,20.84,11.6
2024-01-01 12:00:00,21.76,8.9
2024-01-01 13:00:00,21.06,12.2
2024-01-01 14:00:00,21.99,10.7
2024-01-01 15:00:00,21.37,9.6
2024-01-01 16:00:00,21.12,8.8
2024-01-01 17:00:00,18.36,11.7
2024-01-01 18:00:00,18.45,12.5
2024-01-01 19:00:00,16.93,8.9
2024-01-01 20:00:00,17.63,7.7
2024-01-01 21:00:00,18.56,11.4
2024-01-01 22:00:00,17.69,7.1
2024-01-01 23:00:00,17.04,7.4
2024-01-02 00:00:00,17.77,7.9
2024-01-02 01:00:00,18.77,9.2
2024-01-02 02:00:00,18.36,7.3
2024-01-02 03:00:00,17.58,6.1
2024-01-02 04:00:00,18.25,7.7
2024-01-02 05:00:00,17.95,11.3
2024-01-02 06:00:00,16.9,7.5
2024-01-02 07:00:00,17.47,9.3
2024-01-02 08:00:00,22.17,13.9
2024-01-02 09:00:00,20.86,9.9
2024-01-02 10:00:00,20.95,10.7
2024-01-02 11:00:00,20.66,8.1
2024-01-02 12:00:00,22.39,14.3
2024-01-02 13:00:00,21.71,8.9
2024-01-02 14:00:00,22.07,9.6
2024-01-02 15:00:00,21.19,12.7
2024-01-02 16:00:00,21.12,9.7
2024-01-02 17:00:00,17.26,10.1
2024-01-02 18:00:00,18.69,9.5
2024-01-02 19:00:00,17.37,9.5
2024-01-02 20:00:00,18.19,10.8
2024-01-02 21:00:00,17.57,11.1
2024-01-02 22:00:00,17.58,8.7
2024-01-02 23:00:00,17.44,8.5
2024-01-03 00:00:00,17.58,8.8
2024-01-03 01:00:00,17.46,7.2
2024-01-03 02:00:00,17.41,6.8
2024-01-03 03:00:00,18.48,10.6
2024-01-03 04:00:00,17.64,11.9
2024-01-03 05:00:00,18.3,11.8
2024-01-03 06:00:00,18.14,5.3
2024-01-03 07:00:00,17.7,9.5
2024-01-03 08:00:00,20.43,7.8
2024-01-03 09:00:00,20.92,10.3
2024-01-03 10:00:00,21.52,9.2
2024-01-03 11:00:00,21.22,11.2
2024-01-03 12:00:00,20.74,10.0
2024-01-03 13:00:00,20.87,6.2
2024-01-03 14:00:00,20.27,8.1
2024-01-03 15:00:00,21.35,10.0
2024-01-03 16:00:00,21.23,10.2
2024-01-03 17:00:00,17.57,7.2
2024-01-03 18:00:00,17.29,7.0
2024-01-03 19:00:00,17.57,10.1
2024-01-03 20:00:00,17.99,7.2
2024-01-03 21:00:00,18.29,6.7
2024-01-03 22:00:00,17.6,9.1
2024-01-03 23:00:00,18.15,9.1
2024-01-04 00:00:00,16.79,8.3
2024-01-04 01:00:00,17.57,8.6
2024-01-04 02:00:00,18.0,10.1
2024-01-04 03:00:00,17.41,8.6
2024-01-04 04:00:00,17.56,10.2
2024-01-04 05:00:00,17.6,9.3
2024-01-04 06:00:00,18.19,10.4
